"Resident ID","c_Resident","c_DoB","c_Current Age","c_Education","Location","Income","Customer ID","Name","Updated_Birthday","Updated_Age","Education Level","City","Purchase Date","Shopping List","Item List","Item A","Item B","Item C","Item D","Item E","Item F","Item G","Item H","Item I","Item J","Item K","Item L","Item M","Item N","Item O","Item P","Item Q","Item R","Item S","Item T","Item U"
2887,"Peror","21/3/2006",19,"high-school","Sydney",194000,0,"Peror","21/3/2006",19,"high-school","Sydney","2023-9-6","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2791,"Malae","10/9/2010",14,"junior college","Melbourne",529000,1,"Malae","10/9/2010",14,"junior college","Melbourne","2024-11-14","['A', 'C', 'F', 'G', 'O', 'Q', 'U']","[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
69,"Perius","15/11/1992",32,"master","Brisbane",231000,2,"Perius","15/11/1992",32,"master","Brisbane","2025-4-13","['B', 'G', 'J', 'M', 'N', 'S', 'T']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0
20,"Noras","9/2/2001",24,"under high-school","Perth",386000,3,"Noras","9/2/2001",24,"under high-school","Perth","2024-9-7","['A', 'B', 'E', 'G', 'H', 'I', 'K', 'M', 'N', 'O', 'P', 'R', 'T', 'U']","[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1]",1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
2040,"Milo","19/6/1999",25,"high-school","Adelaide",78000,4,"Milo","19/6/1999",25,"high-school","Adelaide","2025-1-4","['A', 'B', 'F', 'G', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'S', 'T', 'U']","[1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]",1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
386,"Galor","20/2/1998",27,"high-school","Gold Coast",260000,5,"Galor","20/2/1998",27,"high-school","Gold Coast","2024-2-25","['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
950,"Selius","4/12/1982",42,"junior college","Canberra",243000,6,"Selius","4/12/1982",42,"junior college","Canberra","2024-6-14","['A', 'B', 'E', 'F', 'G', 'I', 'L', 'N', 'O', 'R', 'S', 'U']","[1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1
1427,"Isae","12/10/1983",41,"college","Newcastle",423000,7,"Isae","12/10/1983",41,"college","Newcastle","2024-4-28","['A', 'C', 'L', 'M', 'N', 'Q', 'R', 'S', 'U']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1]",1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1
2281,"Ralan","6/12/1972",52,"junior college","Wollongong",77000,8,"Ralan","6/12/1972",52,"junior college","Wollongong","2023-3-27","['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'L', 'N', 'O', 'P', 'Q', 'R', 'T', 'U']","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1]",1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
844,"Peron","27/8/1996",28,"junior college","Sunshine Coast",352000,9,"Peron","27/8/1996",28,"junior college","Sunshine Coast","2024-7-4","['C', 'D', 'E', 'G', 'H', 'I', 'K', 'Q', 'S', 'U']","[0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1
1555,"Halor","7/7/1999",25,"college","Hobart",449000,10,"Halor","7/7/1999",25,"college","Hobart","2024-6-2","['I', 'T']","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
1022,"Valon","14/12/2001",23,"college","Geelong",438000,11,"Valon","14/12/2001",23,"college","Geelong","2024-1-29","['S', 'U']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
343,"Corae","12/1/1980",45,"college","Townsville",282000,12,"Corae","12/1/1980",45,"college","Townsville","2023-8-14","['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
