Customer ID,Name,Birthday,Age,Education Level,City,Purchase Date,Shopping List,Item List,Item A,Item B,Item C,Item D,Item E,Item F,Item G,Item H,Item I,Item J,Item K,Item L,Item M,Item N,Item O,Item P,Item Q,Item R,Item S,Item T,Item U
0,Peror,21/3/2006,17,high-school,Sydney,2023-9-6,"['A', 'B', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,Malae,10/9/2010,12,junior college,Melbourne,2024-11-14,"['A', 'C', 'F', 'G', 'O', 'Q', 'U']","[1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1]",1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
2,Perius,15-11-1992,30,master,Brisbane,2025-4-13,"['B', 'G', 'J', 'M', 'N', 'S', 'T']","[0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]",0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0
3,Noras,9-2-2001,22,under high-school,Perth,2024-9-7,"['A', 'B', 'E', 'G', 'H', 'I', 'K', 'M', 'N', 'O', 'P', 'R', 'T', 'U']","[1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1]",1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
4,Milo,19-6-1999,23,high-school,Adelaide,2025-1-4,"['A', 'B', 'F', 'G', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'S', 'T', 'U']","[1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1]",1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,1
5,Galor,20-2-1998,25,high-school,Gold Coast,2024-2-25,"['A', 'B', 'C', 'E', 'F', 'G', 'H', 'I', 'J', 'K', 'L', 'M', 'N', 'O', 'P', 'Q', 'R', 'S', 'T', 'U']","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6,Selius,4-12-1982,40,junior college,Canberra,2024-6-14,"['A', 'B', 'E', 'F', 'G', 'I', 'L', 'N', 'O', 'R', 'S', 'U']","[1, 1, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 1, 0, 1]",1,1,0,0,1,1,1,0,1,0,0,1,0,1,1,0,0,1,0,0,1
7,Isae,12/10/1983,39,college,Newcastle,2024-4-28,"['A', 'C', 'L', 'M', 'N', 'Q', 'R', 'S', 'U']","[1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 1]",1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,1
8,Ralan,6-12-1972,50,junior college,Wollongong,2023-3-27,"['A', 'C', 'D', 'E', 'F', 'G', 'H', 'I', 'J', 'L', 'N', 'O', 'P', 'Q', 'R', 'T', 'U']","[1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1]",1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1
9,Peron,27-8-1996,26,junior college,Sunshine Coast,2024-7-4,"['C', 'D', 'E', 'G', 'H', 'I', 'K', 'Q', 'S', 'U']","[0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]",0,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1
